"depth","tave","tave_errors","tmin","tmin_errors","tmax","tmax_errors","annp","annp_errors","min_dissim","analog_ID2_1","analog_1","analog_1_LATDD","analog_1_LONDD","dissim_1","analog_ID2_2","analog_2","analog_2_LATDD","analog_2_LONDD","dissim_2","analog_ID2_3","analog_3","analog_3_LATDD","analog_3_LONDD","dissim_3","analog_ID2_4","analog_4","analog_4_LATDD","analog_4_LONDD","dissim_4","analog_ID2_5","analog_5","analog_5_LATDD","analog_5_LONDD","dissim_5","analog_ID2_6","analog_6","analog_6_LATDD","analog_6_LONDD","dissim_6","analog_ID2_7","analog_7","analog_7_LATDD","analog_7_LONDD","dissim_7"
222.5,14.5841908914845,1.72982388059191,-19.2744553167614,5.30360558155121,37.2465797339989,3.54624237897331,1292.33656027212,141.002145498184,0.163453586342777,4888,"Roanoke Surface Treetag 960",36.04895,-77.26555,0.163453586342777,1831,"Site 3 [Delcourt 1978]",35.95,-87.55,0.170466367826882,1830,"Site 2 [Delcourt 1978]",35.9,-87.78,0.172568057697249,3195,"SESSMPT",35.15,-86.2,0.194017241461152,762,"Bagnell Dom ",38.22,-92.63,0.194977357407531,1141,"Site 43 [Delcourt, PA et al 1983]",35.94,-76.53,0.229701817340978,1108,"Site 8 [Delcourt, PA et al 1983]",33.9,-84.22,0.234177083668653
223.5,14.5743517441967,1.73760680294845,-19.4831392480249,5.2369379152167,37.8499741840283,3.3220301785684,1285.60120536137,140.022059961357,0.183112043086636,1831,"Site 3 [Delcourt 1978]",35.95,-87.55,0.183112043086636,1830,"Site 2 [Delcourt 1978]",35.9,-87.78,0.196387641363518,762,"Bagnell Dom ",38.22,-92.63,0.198122559465419,4888,"Roanoke Surface Treetag 960",36.04895,-77.26555,0.226181974122314,1108,"Site 8 [Delcourt, PA et al 1983]",33.9,-84.22,0.227916341300857,3195,"SESSMPT",35.15,-86.2,0.237715441000545,1107,"Site 7 [Delcourt, PA et al 1983]",34.39,-83.23,0.243264269060417
224.5,14.6223283904798,1.71093976441061,-18.2945190306713,5.48960180612454,36.2494626275211,3.58866400636549,1287.99120288957,143.791009125769,0.234130144680718,1830,"Site 2 [Delcourt 1978]",35.9,-87.78,0.234130144680718,1831,"Site 3 [Delcourt 1978]",35.95,-87.55,0.237042673094733,4888,"Roanoke Surface Treetag 960",36.04895,-77.26555,0.245659700805972,3195,"SESSMPT",35.15,-86.2,0.258469970771228,1108,"Site 8 [Delcourt, PA et al 1983]",33.9,-84.22,0.268375333776152,762,"Bagnell Dom ",38.22,-92.63,0.272665701038454,1139,"Site 41 [Delcourt, PA et al 1983]",35.77,-79.15,0.27444973594715
225.5,14.8626701273549,1.70981024223591,-20.3792035660444,4.22153066813448,40.188866392808,2.26698520196014,1295.35353125076,134.640441492179,0.240664713667504,1139,"Site 41 [Delcourt, PA et al 1983]",35.77,-79.15,0.240664713667504,1830,"Site 2 [Delcourt 1978]",35.9,-87.78,0.272581789480862,1141,"Site 43 [Delcourt, PA et al 1983]",35.94,-76.53,0.274865920978662,1831,"Site 3 [Delcourt 1978]",35.95,-87.55,0.276055147583931,1108,"Site 8 [Delcourt, PA et al 1983]",33.9,-84.22,0.286457362236095,770,"Central City",37.32,-87.22,0.297666766168782,1106,"Site 6 [Delcourt, PA et al 1983]",34.53,-82.82,0.298041196986441
226.5,14.1721922066026,1.85093984531449,-20.2703919041356,4.65733107337232,39.557323514725,2.66228764371756,1239.91217073093,139.391203904904,0.236517526137889,3064,"712",37.533,-78.267,0.236517526137889,1830,"Site 2 [Delcourt 1978]",35.9,-87.78,0.325180904809862,1106,"Site 6 [Delcourt, PA et al 1983]",34.53,-82.82,0.325678439124219,1105,"Site 5 [Delcourt, PA et al 1983]",34.63,-81.92,0.330825396550177,1831,"Site 3 [Delcourt 1978]",35.95,-87.55,0.340261467243229,530,"East Twin Lake [Ohio]",41.199,-81.333,0.347097333780971,4950,"Roanoke Surface Treetag 5201",35.87077,-76.89862,0.34889882800681
227.5,15.2535595172607,1.72546296192904,-13.4302174813057,6.13182420296189,37.6473207302103,3.98544304435084,1245.93891671731,136.451485785265,0.249130834510665,3064,"712",37.533,-78.267,0.249130834510665,1105,"Site 5 [Delcourt, PA et al 1983]",34.63,-81.92,0.291385542246097,1106,"Site 6 [Delcourt, PA et al 1983]",34.53,-82.82,0.302712678461924,1107,"Site 7 [Delcourt, PA et al 1983]",34.39,-83.23,0.313486705628728,1830,"Site 2 [Delcourt 1978]",35.9,-87.78,0.367548480406364,1139,"Site 41 [Delcourt, PA et al 1983]",35.77,-79.15,0.369279143221751,4950,"Roanoke Surface Treetag 5201",35.87077,-76.89862,0.369392794427118
228.5,15.4719730742266,1.72056187157364,-7.09490204007073,6.38928202805844,33.8791657078064,4.71459353541714,1228.68929639828,134.079009170102,0.241280103792692,3064,"712",37.533,-78.267,0.241280103792692,1105,"Site 5 [Delcourt, PA et al 1983]",34.63,-81.92,0.329297384378244,1106,"Site 6 [Delcourt, PA et al 1983]",34.53,-82.82,0.344827983281891,4950,"Roanoke Surface Treetag 5201",35.87077,-76.89862,0.364364696802978,1107,"Site 7 [Delcourt, PA et al 1983]",34.39,-83.23,0.369898812357436,4842,"Dismal Swamp Surface 85.PC",36.63694513,-76.53926239,0.375855931085371,4876,"Roanoke Surface Treetag 470",36.11152,-77.24335,0.380271595411617
229.5,15.6200309129697,1.75810403363702,-7.48170071938222,6.0945707284475,34.0501998380333,3.90588999469858,1206.20320513622,132.799335299359,0.290479070897813,3064,"712",37.533,-78.267,0.290479070897813,1787,"White Lake",34.65,-78.5,0.308681704837137,4842,"Dismal Swamp Surface 85.PC",36.63694513,-76.53926239,0.320571449287734,4847,"Dismal Swamp Surface 86.PC",36.64485522,-76.52613181,0.331394444874857,1790,"Singletary Lake [Site 2]",34.59,-78.47,0.34100997077372,1105,"Site 5 [Delcourt, PA et al 1983]",34.63,-81.92,0.341457674328901,1106,"Site 6 [Delcourt, PA et al 1983]",34.53,-82.82,0.357473307908982
230.5,15.3978580413398,1.75173639069052,-7.97287644022016,5.85479076489789,33.9407959334833,4.49011945375846,1232.52530912682,134.84218744216,0.181913278152561,3064,"712",37.533,-78.267,0.181913278152561,1105,"Site 5 [Delcourt, PA et al 1983]",34.63,-81.92,0.297091474108649,4950,"Roanoke Surface Treetag 5201",35.87077,-76.89862,0.316654717792115,1107,"Site 7 [Delcourt, PA et al 1983]",34.39,-83.23,0.334334267405311,1106,"Site 6 [Delcourt, PA et al 1983]",34.53,-82.82,0.350083114892434,4924,"Roanoke Surface Treetag 84",35.89133,-77.03613,0.363397838783179,4876,"Roanoke Surface Treetag 470",36.11152,-77.24335,0.366697081600702
240.5,13.371511193155,2.04227876030195,-17.4454935629782,5.93961487474803,37.3488133953091,3.35756096230509,1150.03554410504,140.023266480644,0.176086454041494,3064,"712",37.533,-78.267,0.176086454041494,4950,"Roanoke Surface Treetag 5201",35.87077,-76.89862,0.23375899211598,1796,"Round Lake [US:Indiana]",41.23,-86.63,0.323171416072827,1106,"Site 6 [Delcourt, PA et al 1983]",34.53,-82.82,0.325247185025525,1105,"Site 5 [Delcourt, PA et al 1983]",34.63,-81.92,0.326601418418101,530,"East Twin Lake [Ohio]",41.199,-81.333,0.345977579634094,1107,"Site 7 [Delcourt, PA et al 1983]",34.39,-83.23,0.350091910208901
249.5,15.638886987345,1.71875493047422,-0.263755923801929,5.63392595295469,28.6178710985123,3.92370936149562,1202.75821026306,129.970078645576,0.273572655823043,4876,"Roanoke Surface Treetag 470",36.11152,-77.24335,0.273572655823043,4976,"Roanoke Surface Treetag 937",36.32544,-77.44872,0.292259039339662,1133,"Site 34 [Delcourt, PA et al 1983]",33.46,-82.68,0.30016141953646,186,"Clear Pond [South Carolina]",33.799,-78.954,0.305414669144523,4964,"Roanoke Surface Treetag 975",35.97495,-77.19852,0.305489516719564,4973,"Roanoke Surface Treetag 932",36.32555,-77.4508,0.316952000734151,4946,"Roanoke Surface Treetag 339",36.3933,-77.5519,0.323987936628815
