"depth","tave","tave_errors","tmin","tmin_errors","tmax","tmax_errors","annp","annp_errors","min_dissim","analog_ID2_1","analog_1","analog_1_LATDD","analog_1_LONDD","dissim_1","analog_ID2_2","analog_2","analog_2_LATDD","analog_2_LONDD","dissim_2","analog_ID2_3","analog_3","analog_3_LATDD","analog_3_LONDD","dissim_3","analog_ID2_4","analog_4","analog_4_LATDD","analog_4_LONDD","dissim_4","analog_ID2_5","analog_5","analog_5_LATDD","analog_5_LONDD","dissim_5","analog_ID2_6","analog_6","analog_6_LATDD","analog_6_LONDD","dissim_6","analog_ID2_7","analog_7","analog_7_LATDD","analog_7_LONDD","dissim_7"
2.5,15.2282869674694,1.68013625873101,8.72630748982069,3.33003793862485,21.7346808628519,1.72239752582075,1202.6064877104,129.092106261874,0.251556666832374,4966,"Roanoke Surface Treetag 978",35.93076,-77.17233,0.251556666832374,4893,"Roanoke Surface Treetag 385",36.04428,-77.28623,0.262458933849614,4901,"Roanoke Surface Treetag 235",35.96416,-77.18922,0.281922652023881,4892,"Roanoke Surface Treetag 381",36.04573,-77.28462,0.296820796498013,4896,"Roanoke Surface Treetag 1534",35.96257,-77.1954,0.299777491544323,4899,"Roanoke Surface Treetag 232",35.96327,-77.19278,0.303158973487283,4842,"Dismal Swamp Surface 85.PC",36.63694513,-76.53926239,0.304109968011593
5.5,15.277722288809,1.68048613956311,8.89110000251144,3.27802747836986,21.6958945569837,1.66031213030712,1209.23675115827,129.079706754864,0.227545032972869,4893,"Roanoke Surface Treetag 385",36.04428,-77.28623,0.227545032972869,4966,"Roanoke Surface Treetag 978",35.93076,-77.17233,0.228306186163904,4892,"Roanoke Surface Treetag 381",36.04573,-77.28462,0.243041606883794,4913,"Roanoke Surface Treetag 351",35.93427,-77.12785,0.246693867559836,4988,"Roanoke Surface Treetag 212",35.883,-77.01176,0.257370477058132,4899,"Roanoke Surface Treetag 232",35.96327,-77.19278,0.258657577584905,4880,"Roanoke Surface Treetag 473",36.107,-77.24255,0.259657509218561
10.5,15.71052233492,1.71089877737282,-4.28634176425487,5.80778968349496,32.1407392656016,4.47691139949453,1211.00659938722,130.703930884996,0.138043106225038,4867,"Dismal Swamp Surface 507PC",36.44476963,-76.49290125,0.138043106225038,4853,"Dismal Swamp Surface 84.PC",36.69073432,-76.50510304,0.224961771345524,42,"Dismal Swamp [1]",36.583,-76.45,0.23884293872169,121,"Rockyhock Bay1",36.167,-76.683,0.245181240920504,1787,"White Lake",34.65,-78.5,0.258342502923763,4845,"Dismal Swamp Surface 99.PC",36.58785341,-76.4861591,0.276099651811487,1791,"Singletary Lake [Site 2]",34.59,-78.47,0.306828611132781
15.5,15.5181991046812,1.69512805077699,-0.325046246133262,4.88105131880973,29.2876945451637,3.97682821788987,1197.87296935444,129.987098592417,0.130632317115587,4867,"Dismal Swamp Surface 507PC",36.44476963,-76.49290125,0.130632317115587,42,"Dismal Swamp [1]",36.583,-76.45,0.28336924254733,4853,"Dismal Swamp Surface 84.PC",36.69073432,-76.50510304,0.28739679605218,121,"Rockyhock Bay1",36.167,-76.683,0.329657307248501,4845,"Dismal Swamp Surface 99.PC",36.58785341,-76.4861591,0.356751631925086,1787,"White Lake",34.65,-78.5,0.366009720313274,4927,"Roanoke Surface Treetag 500",35.88177,-77.01417,0.376110165752298
20.5,15.3242707396154,1.68114291159778,3.49194814884758,4.63897639391601,25.8472427676482,3.6497470612605,1182.90982104267,129.608422102446,0.0956414895745013,4867,"Dismal Swamp Surface 507PC",36.44476963,-76.49290125,0.0956414895745013,42,"Dismal Swamp [1]",36.583,-76.45,0.248588469373576,4853,"Dismal Swamp Surface 84.PC",36.69073432,-76.50510304,0.267627929269667,4858,"Dismal Swamp Surface 100.PC",36.61685555,-76.49556669,0.337292943899776,4845,"Dismal Swamp Surface 99.PC",36.58785341,-76.4861591,0.35789350033027,121,"Rockyhock Bay1",36.167,-76.683,0.360367952399144,4862,"Dismal Swamp Surface 592N",36.65900823,-76.47132237,0.364522050627267
25.5,15.3434917554433,1.68047997321727,3.44130838795557,4.83589109459724,25.9348530009533,3.61981565796447,1185.15189400625,129.474214373532,0.0929440338161451,4867,"Dismal Swamp Surface 507PC",36.44476963,-76.49290125,0.0929440338161451,42,"Dismal Swamp [1]",36.583,-76.45,0.144449876972569,4853,"Dismal Swamp Surface 84.PC",36.69073432,-76.50510304,0.170528230533121,4845,"Dismal Swamp Surface 99.PC",36.58785341,-76.4861591,0.19944573599507,121,"Rockyhock Bay1",36.167,-76.683,0.226340800339663,4953,"Roanoke Surface Treetag 283",35.88246,-76.80487,0.237313871673751,4858,"Dismal Swamp Surface 100.PC",36.61685555,-76.49556669,0.244566307689162
31.5,15.3844333890874,1.68339491014561,1.20965598240297,4.96829690558473,27.4788124310798,3.87808930702065,1182.39471556189,129.341365764402,0.0911616938856448,42,"Dismal Swamp [1]",36.583,-76.45,0.0911616938856448,121,"Rockyhock Bay1",36.167,-76.683,0.117451617722202,4845,"Dismal Swamp Surface 99.PC",36.58785341,-76.4861591,0.122219746045702,4846,"Dismal Swamp Surface 516PC",36.49594501,-76.50088551,0.142860356055504,4849,"Dismal Swamp Surface 600N",36.5882948,-76.49696119,0.145167332852285,4842,"Dismal Swamp Surface 85.PC",36.63694513,-76.53926239,0.153205708146719,1788,"Salters Lake",34.72,-78.63,0.156463746399422
35.5,15.4046789981374,1.68732250839353,2.24428275149435,4.86623243272292,26.8964321932407,3.69955821833582,1190.92016611784,129.910072568687,0.136591596992945,4867,"Dismal Swamp Surface 507PC",36.44476963,-76.49290125,0.136591596992945,42,"Dismal Swamp [1]",36.583,-76.45,0.177793760305934,4853,"Dismal Swamp Surface 84.PC",36.69073432,-76.50510304,0.21805992713685,4845,"Dismal Swamp Surface 99.PC",36.58785341,-76.4861591,0.253591623608796,121,"Rockyhock Bay1",36.167,-76.683,0.284430475488585,4858,"Dismal Swamp Surface 100.PC",36.61685555,-76.49556669,0.293424547179212,4927,"Roanoke Surface Treetag 500",35.88177,-77.01417,0.306860531580001
40.5,15.5355080242044,1.69251282637251,-0.0762038855328722,5.0229393818527,29.1208017874008,3.79041347829599,1202.19487768261,130.22944034648,0.141102684026205,4867,"Dismal Swamp Surface 507PC",36.44476963,-76.49290125,0.141102684026205,42,"Dismal Swamp [1]",36.583,-76.45,0.176609018515021,4845,"Dismal Swamp Surface 99.PC",36.58785341,-76.4861591,0.234934301862032,4853,"Dismal Swamp Surface 84.PC",36.69073432,-76.50510304,0.260137308846023,1787,"White Lake",34.65,-78.5,0.270401129079981,121,"Rockyhock Bay1",36.167,-76.683,0.279388037342751,4927,"Roanoke Surface Treetag 500",35.88177,-77.01417,0.290875103059297
45.5,15.2789047554959,1.67975204103653,6.46697125038433,4.65823221503103,23.6141064396907,3.18431753554206,1171.13902253161,129.026930795508,0.13500372123201,42,"Dismal Swamp [1]",36.583,-76.45,0.13500372123201,4853,"Dismal Swamp Surface 84.PC",36.69073432,-76.50510304,0.14081142837775,4867,"Dismal Swamp Surface 507PC",36.44476963,-76.49290125,0.162869194676222,4858,"Dismal Swamp Surface 100.PC",36.61685555,-76.49556669,0.186020071712046,4845,"Dismal Swamp Surface 99.PC",36.58785341,-76.4861591,0.199400687485897,4856,"Dismal Swamp Surface 587PC",36.62209533,-76.46505958,0.227924226329323,4849,"Dismal Swamp Surface 600N",36.5882948,-76.49696119,0.229948199402333
